trace_id,trace_path,file_format,delimiter,voltage_selector,current_selector,gas,probe_geometry,probe_radius_m,probe_area_m2,flow_sccm,discharge_current_a,current_std_a,notes
kr_15sccm_19a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_19A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,19.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_20a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_20A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,20.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_21a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_21A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,21.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_22a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_22A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,22.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_22p5a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_22p5A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,22.5,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_23a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_23A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,23.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_24a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_24A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,24.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_25a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_25A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,25.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_27p5a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_27p5A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,27.5,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_27p5a2,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_27p5A2.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,27.5,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
kr_15sccm_30a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Kr_15sccm_30A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Kr,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,30.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
zn_15sccm_15a,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Zn_15sccm_15A.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Zn,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,15.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
zn_15sccm_15a2,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Zn_15sccm_15A2.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Zn,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,15.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
zn_15sccm_15a3,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Zn_15sccm_15A3.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Zn,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,15.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
zn_15sccm_15a4,/Users/braden/Documents/Bismuth Cathode/2026-03 Zn-Kr Campaign/Orsini_test_directory/Axial Langmuir/Zn_15sccm_15A4.csv,delimited,	,column:Bias Voltage (V),column:Probe Current (A),Zn,cylindrical,2.54e-05,4.0739281319438817e-07,15.0,15.0,,Auto-generated adapter row using caller-supplied cylindrical probe metadata.
